index,date,open,high,low,close,volume,amount,outstanding_share,turnover,sma_short,sma_long,rsi,atr,ma_diff,ma_diff_prev,ma_cross_up,ma_cross_down,signal,suggest_entry,suggest_stop,suggest_target,suggest_position_shares,suggest_position_percent,risk_reward_ratio,position_multiplier,volume_sma,volume_confirm,recent_high,recent_low,breakout_confirm,breakdown_confirm,signal_score,confirmed_signal,market_trend,market_volatility,market_suggestion
0,2024-01-02,31.17,31.6,31.03,31.12,4819650.0,150841928.0,677367400.0,0.007115267135678511,31.12,31.12,50.0,0.5700000000000003,0.0,,False,False,hold,,,,,,,1.0,4819650.0,False,,,False,False,0,hold,strong_bear,high,谨慎操作，建议观望
1,2024-01-03,31.08,31.25,30.85,31.06,3166700.0,98226544.0,677367400.0,0.004675010932028911,31.09,31.09,0.0,0.48499999999999943,0.0,0.0,False,False,hold,,,,,,,1.0,3993175.0,False,,,False,False,0,hold,strong_bear,high,谨慎操作，建议观望
2,2024-01-04,30.99,31.64,30.72,30.84,4006600.0,124894457.0,677367400.0,0.005914958411048421,31.006666666666664,31.006666666666664,0.0,0.6300000000000002,0.0,0.0,False,False,hold,,,,,,,1.0,3997650.0,False,,,False,False,0,hold,strong_bear,high,谨慎操作，建议观望
3,2024-01-05,30.86,30.93,29.66,29.73,5711242.0,171991748.0,677367400.0,0.008431527705643939,30.6875,30.6875,0.0,0.79,0.0,0.0,False,False,hold,,,,,,,1.0,4426048.0,True,,,False,False,1,hold,strong_bear,high,谨慎操作，建议观望
4,2024-01-08,29.83,29.88,27.0,28.01,11536225.0,326427338.0,677367400.0,0.017030971670617748,30.151999999999997,30.151999999999997,0.0,1.2079999999999997,0.0,0.0,False,False,hold,,,,,,,1.0,5848083.4,True,,,False,False,1,hold,strong_bear,high,谨慎操作，建议观望
5,2024-01-09,27.99,28.71,27.8,27.98,5624951.0,157928807.0,677367400.0,0.00830413598292448,29.790000000000003,29.790000000000003,0.0,1.1583333333333332,0.0,0.0,False,False,hold,,,,,,,1.0,5810894.666666667,False,,,False,False,0,hold,strong_bear,high,谨慎操作，建议观望
6,2024-01-10,27.97,28.3,27.1,28.08,4338100.0,120809897.0,677367400.0,0.006404353088146846,29.545714285714286,29.545714285714286,3.083457382775805,1.1642857142857141,0.0,0.0,False,False,buy,28.08,25.75142857142857,32.73714285714286,,,,1.0,5600495.428571428,False,,,False,False,0,hold,strong_bear,high,谨慎操作，建议观望
7,2024-01-11,28.0,29.23,27.9,28.8,4483900.0,128265584.0,677367400.0,0.006619598167848054,29.4525,29.4525,21.78387920682873,1.185,0.0,0.0,False,False,buy,28.8,26.43,33.54,,,,1.0,5460921.0,False,,,False,False,0,hold,strong_bear,high,谨慎操作，建议观望
8,2024-01-12,28.8,29.25,28.7,28.8,3277100.0,94833132.0,677367400.0,0.004837994860691554,29.380000000000003,29.380000000000003,21.78387920682873,1.1144444444444446,0.0,0.0,False,False,hold,,,,,,,1.0,5218274.222222222,False,,,False,False,0,hold,strong_bear,high,谨慎操作，建议观望
9,2024-01-15,28.76,28.76,27.98,28.5,3210422.0,91226598.0,677367400.0,0.004739557882472644,29.292,29.292,19.92594417131029,1.0850000000000002,0.0,0.0,False,False,hold,,,,,,,1.0,5017489.0,False,,,False,False,0,hold,strong_bear,high,谨慎操作，建议观望
